Name,Wiki Name,Party,Wiki search,Wiki Output
Chauhan  Shri Bega Ram,Bega Ram Chauhan,Janata Dal,Bega Ram Chauhan Janata Dal,"Bega Ram Chauhan is an Indian politician.  He was elected to the Lok Sabha, the lower house of the Parliament of India from Ganganagar, Rajasthan as a member of the Janata Dal."
Chauhan  Shri Chetan,Chetan Chauhan,Bharatiya Janata Party,Chetan Chauhan Bharatiya Janata Party,"Chetan Pratap Singh Chauhan (pronunciation ; 21 July 1947 – 16 August 2020) was a cricketer who played 40 Test matches for India. He played Ranji Trophy for Maharashtra and Delhi. He played most of his international cricket in the late 1970s and was the regular opening partner of Sunil Gavaskar during that period.
Chetan Chauhan was appointed Chairman of NIFT (National Institute of Fashion Technology) from June 2016 to June 2017. He was also twice elected to the Lok Sabha from Amroha in Uttar Pradesh, in 1991 and 1998. From 2018 to 2020, he was minister for youth and sports in the state of Uttar Pradesh, India.On 12 July 2020, he was admitted to the hospital after testing positive for COVID-19. He died due to complications and multiple organ failure on 16 August 2020 at the age of 73.

"
Chauhan  Shri Dara Singh,Dara Singh Chauhan,Bahujan Samaj Party,Dara Singh Chauhan Bahujan Samaj Party,"Dara Singh Chauhan (born 25 July 1963) is an Indian politician who represented Madhuban (Assembly constituency) in Uttar Pradesh a member of Samajwadi party. He is a prominent backward caste leader in Uttar Pradesh, and belongs to Lonia caste which is listed under OBCs.
He was former Cabinet Minister in Yogi Adityanath ministry. He is also represented Ghosi in the 15th Lok Sabha, where he was leader of the Bahujan Samaj Party. In 16th Lok Sabha, he was defeated by Harinarayan Rajbhar who represented Bharatiya Janata Party by more than 140,000 votes.
On 2 February 2015, he joined Bharatiya Janata Party in presence of party president Amit Shah in New Delhi.Soon after he joined BJP, he was made BJP Chauhan Morcha President and given the ticket to fight the MLA Election from Madhuban Constituency, where many people were rallying to get BJP Ticket. He won election from Madhuban Constituency by more than 30,000 votes and able to grow saffron first time in this constituency and become cabinet minister in UP government."
Chauhan  Shri Devusinh Jesingbhai,Devusinh Jesingbhai Chauhan,Bharatiya Janata Party,Devusinh Jesingbhai Chauhan Bharatiya Janata Party,"Devusinh Jesingbhai Chauhan is an Indian politician and serving as  Minister of State for Communications of India. He is member of parliament to the 17th Lok Sabha from Kheda (Lok Sabha constituency), Gujarat. He won the 2014 Indian general election being a Bharatiya Janata Party candidate.Devusinh Jesingbhai Chauhan was born on 29 Oct 1964 in Navagam, Kheda, Gujarat. He did his Diploma Course in Electrical Engineering from the Government Polytechnic College in Porbandar (Gujarat). From 1989 to 2002, Devusinh Jesingbhai Chauhan worked as an engineer with All India Radio (AIR). He is currently a parliament member to the 17th Lok Sabha from Kheda (Lok Sabha constituency), Gujarat. In The Union Minister of State for Communications and Kheda MP Shri Devusinh Jesingbhai Chauhan has obtained his Diploma in Electrical Engineering from the government Polytechnic College in Porbandar(Gujarat). He worked as an engineer in Akashvani Kendra as a government servant for 13 years before starting his journey as a public figure. He resigned from government service in 2002 and entered politics to serve the people of India. To get acquainted with rural life of the Matar Constituency and understand their problems he constantly toured the villages and met people from all walks of life. He always stood by the people in all kinds of difficulties, be it extreme rains or natural catastrophes and admonished the authorities and wherever necessary fasted to death for the rights of the common man. The people of Matar found a passionate and righteous leader to follow and rely on. In 2007, the now PM of India Shri Narendra Modi put his faith in Devusinhji Chauhan and selected him to contest the election from Matar constituency of Kheda district seat which he won and became the MLA of Matar for the very first time. In 2009, he contested the loksabha elections from the Kheda seat. In 2012, he was re-elected as the MLA of Matar under the leadership of BJP.
In the year 2014, he was finally elected as the Member of Parliament for the 16th Lok Sabha elections from Kheda seat as a BJP candidate. From the year 2016 till 2020 he was also the BJP president of Kheda district and had successfully handled his role of being an MP as well as the responsibilities of his party and its workers. In 2016, he was also selected for a short course at King's College, London by the British High Commissioner. He was re-elected as an MP for Kheda Lok Sabha Constituency in 2019. Since 2015, he has served as a member of Water Resort Committee and I.T. Committee. He is also served on various committees like standing committee of Defence and Ministry of Food Processing Industries. He has also assumed various responsibilities for the Party as a party worker for the state and district during elections and various programs.
Union Minister of State for Communications – Shri Devusinh Chauhan who is interested in reading, travel and music, is committed towards successfully fulfilling his responsibilities as a Union Minister of State."
Chauhan  Shri Fatehbhan Singh,Fatehbhan Singh Chauhan,Congress (I),Fatehbhan Singh Chauhan Congress (I),This is a list of members of the 7th Lok Sabha arranged by state or territory represented. These members of the lower house of the Indian Parliament were elected to the 7th Lok Sabha (1980 to 1984) at the 1980 Indian general election.
Chauhan  Shri Jaysinhji Mansinhji,Jaysinhji Mansinhji Chauhan,Bharatiya Janata Party,Jaysinhji Mansinhji Chauhan Bharatiya Janata Party,"Jaysinhji Mansinhji Chauhan was an Indian politician. He was elected to the Lok Sabha, the lower house of the Parliament of India as a member of the Bharatiya Janata Party."
Chauhan  Dr. Mahendrasinh Pruthvisinh,Dr. Mahendrasinh Pruthvisinh Chauhan,Bharatiya Janata Party,Dr. Mahendrasinh Pruthvisinh Chauhan Bharatiya Janata Party,#N/A
Chauhan  Shri Nawab Singh,Nawab Singh Chauhan,Janata Party,Nawab Singh Chauhan Janata Party,"Nawab Singh Chauhan (16 December 1909 – 4 April 1981) was an Indian politician. He was member of the 6th Lok Sabha from the Aligarh constituency. He used the pen name ""Kanj"" as poet."
Chauhan  Shri Nihal Chand,Nihal Chand Chauhan,Bharatiya Janata Party,Nihal Chand Chauhan Bharatiya Janata Party,Nihal Chand Chauhan also known as Nihal Chand Meghwal (born 4 February 1971) is an Indian politician belonging to the Bharatiya Janata Party.
Chauhan  Shri Prabhatsinh,Prabhatsinh Chauhan,Janata Dal,Prabhatsinh Chauhan Janata Dal,"Prabhatsinh Chauhan (born February 11, 1932) is an Indian politician. He was elected to the Lok Sabha, lower house of the Parliament of India from Kheda , Gujarat as a member of the Janata Dal."
Chauhan  Shri Prabhatsinh Pratapsinh,Prabhatsinh Pratapsinh Chauhan,Bharatiya Janata Party,Prabhatsinh Pratapsinh Chauhan Bharatiya Janata Party,"Prabhatsinh Pratapsinh Chauhan is a member of the 15th Lok Sabha of India. He represented the Panchmahal constituency of Gujarat and is a member of the Bharatiya Janata Party (BJP) political party.

"
Chauhan  Raj Kumari,Raj Kumari Chauhan,Bahujan Samaj Party,Raj Kumari Chauhan Bahujan Samaj Party,"Raj Kumari Chauhan is a member of the 15th Lok Sabha of India. She represented the Aligarh (Lok Sabha constituency) of Uttar Pradesh and is a member of the Bahujan Samaj Party (BSP) political party.

"
Chauhan  Shri Sanjay Singh,Sanjay Singh Chauhan,Rashtriya Lok Dal,Sanjay Singh Chauhan Rashtriya Lok Dal,"Sanjay Singh Chauhan (born 10 October 1961) was an Indian politician. He was the active member of the Rashtriya Lok Dal (RLD) and was a member of Parliament representing Bijnor in Uttar Pradesh state in the 15th Lok Sabha. He was also a Member of State Legislative Assembly, Uttar Pradesh from 1996-2001
He was the son of Chaudhary Narayan Singh Ex Deputy CM of Uttar Pradesh. He graduated with B.A., LL.B. Educated at S.D. Degree College and D.A.V. Degree College, Muzaffar Nagar and Chaudhary Charan Singh University, Meerut.
He was a notable gurjar leader from Uttar Pradesh.

"
Chauhan  Shri Sriram,Sriram Chauhan,Bharatiya Janata Party,Sriram Chauhan Bharatiya Janata Party,"Sriram Chauhan (born 20 September 1953) is an Indian politician and member of the 18th Legislative Assembly of Uttar Pradesh representing Khajani constituency. He was the Minister of State, Parliamentary Affairs in 1999 and the Minister of State, Consumer Affairs, Food and Public Distribution from 1999 to 2001 in the Third Vajpayee ministry. He was elected as MP to 13th Lok Sabha from Basti in Uttar Pradesh. He was imprisoned in the emergency in 1975."
Chaure  Shri Bapu Hari,Bapu Hari Chaure,Indian National Congress,Bapu Hari Chaure Indian National Congress,"Chaure Bapu Hari (born 1 January 1949) is a member of the 14th Lok Sabha of India. He represents the Dhule constituency of Maharashtra and is a member of the Indian National Congress (INC) political party.

"
Chautala  Shri Ajay Singh,Ajay Singh Chautala,Indian National Lok Dal,Ajay Singh Chautala Indian National Lok Dal,Ajay Singh Chautala (born 13 March 1961) is a former Indian MP and sports administrator. He is elder son of former Chief Minister of Haryana Om Prakash Chautala and father of current Deputy Chief Minister of Haryana Dushyant Chautala.
Chautala  Shri Dushyant,Dushyant Chautala,Indian National Lok Dal,Dushyant Chautala Indian National Lok Dal,"Dushyant Singh Chautala (born 3 April 1988) is a Jannayak Janta Party politician and current Deputy Chief Minister of Haryana. He is the president and co-founder of the Jannayak Janata Party. He represents Uchana Kalan constituency in Haryana Legislative Assembly, and was sworn-in as Deputy Chief Minister of Haryana after making an alliance with Bhartiya Janata Party in the 2019 Haryana Legislative Assembly election.He also served as the Member of Parliament in the 16th Lok Sabha representing Hisar Lok Sabha constituency in Haryana.In 2019 MP election he lost his seat to BJP. On 6 October 2020, he was diagnosed with COVID-19 and had to be in home isolation for two weeks."
Chavan  Shri Ashok Shankarrao,Ashok Shankarrao Chavan,Indian National Congress,Ashok Shankarrao Chavan Indian National Congress,"Ashokrao Shankarrao Chavan (born 28 October 1958) is an Indian politician from Maharashtra. He is one of the most influential leaders of Indian National Congress in Maharashtra and he is the current PWD Minister of Maharashtra. He also served as the Chief Minister of Maharashtra state from 8 December 2008 to 9 November 2010. Also, he has served as Minister for Cultural Affairs, Industries, Mines and Protocol in the Vilasrao Deshmukh government.
On 9 November 2010, the Congress Party asked him to resign from office over corruption allegations relating to Adarsh Housing Society scam. In the 2014 general elections, despite the allegations and anti-incumbency wave, he won the Lok Sabha election from his Nanded constituency with a comfortable margin. In 2015, he was appointed the president of Maharashtra Pradesh Congress Committee. Chavan lost his Nanded seat in the 2019 Lok sabha election to Pratap Patil Chikhalikar of the BJP.
Chavan belongs to an influential political family based in Nanded district of Maharashtra state. He is the son of Shankarrao Chavan, a former Chief Minister of Maharashtra himself; they are the first father–son duo in the state's history to become chief ministers. His brother-in-law Bhaskarrao Bapurao Khatgaonkar Patil was a three-time Member of Legislative Assembly (MLA) and a three-time MP, and Chavan's wife, Amita is MLA from Bhokar constituency in Nanded for years 2014-19."
Chavan  Shri Dajisaheb Ramrao,Dajisaheb Ramrao Chavan,Congress,Dajisaheb Ramrao Chavan Congress,"Dajisaheb Ramrao Chavan (22 August 1916 – 8 July 1973) was an Indian politician and served as a Member of parliament, Lok Sabha for 16 years. A member of the Indian National Congress, he was the former Union Deputy Minister for Defence and Law. His wife, Premalatai Chavan, represented his Lok Sabha seat after his death. Their son Prithviraj Chavan was Chief Minister of Maharashtra from 2010 to 2014."
